6-2040	23.28 
6-2041	23.32 
6-2042	23.63 
6-2043	24.24 
6-2044	24.94 
6-2045	24.36 
6-2046	25.77 
6-2047	25.12 
6-2048	24.70 
6-2049	25.78 
6-2050	25.11 
6-2051	25.77 
6-2052	24.27 
6-2053	26.60 
6-2054	26.23 
6-2055	25.01 
6-2056	25.38 
6-2057	26.02 
6-2058	24.61 
6-2059	24.49 
6-2060	25.26 
6-2061	25.71 
6-2062	25.23 
6-2063	26.00 
6-2064	26.98 
6-2065	27.92 
6-2066	26.92 
6-2067	26.34 
6-2068	25.75 
6-2069	24.72 
7-1986	24.63 
7-1987	25.92 
7-1988	26.12 
7-1989	26.76 
7-1990	27.09 
7-1991	26.59 
7-1992	25.89 
7-1993	26.14 
7-1994	26.35 
7-1995	26.41 
7-1996	26.03 
7-1997	27.21 
7-1998	26.07 
7-1999	27.30 
7-2000	27.20 
7-2001	26.81 
7-2002	27.62 
7-2003	27.86 
7-2004	26.27 
7-2005	28.25 
7-2040	28.90 
7-2041	29.50 
7-2042	30.27 
7-2043	28.51 
7-2044	30.01 
7-2045	29.00 
7-2046	29.41 
7-2047	29.62 
7-2048	29.54 
7-2049	29.26 
7-2050	29.83 
7-2051	29.88 
7-2052	30.01 
7-2053	30.31 
7-2054	30.38 
7-2055	29.58 
7-2056	29.74 
7-2057	29.80 
7-2058	30.68 
7-2059	30.12 
7-2060	30.91 
7-2061	31.01 
7-2062	30.32 
7-2063	31.38 
7-2064	31.38 
7-2065	31.79 
7-2066	31.06 
7-2067	31.12 
7-2068	32.02 
7-2069	31.93 
8-1986	25.43 
8-1987	25.50 
8-1988	25.94 
8-1989	24.64 
8-1990	26.02 
8-1991	26.10 
8-1992	25.90 
8-1993	24.42 
8-1994	25.35 
8-1995	24.89 
8-1996	26.10 
8-1997	27.71 
8-1998	25.95 
8-1999	25.86 
8-2000	24.24 
8-2001	25.64 
8-2002	26.56 
8-2003	24.80 
8-2004	25.47 
8-2005	25.17 
8-2040	27.82 
8-2041	27.55 
8-2042	28.44 
8-2043	27.54 
8-2044	29.14 
8-2045	27.76 
8-2046	29.31 
8-2047	28.16 
8-2048	29.03 
8-2049	28.20 
8-2050	28.04 
8-2051	28.87 
8-2052	28.83 
8-2053	28.75 
8-2054	28.44 
8-2055	28.40 
8-2056	30.77 
8-2057	28.96 
8-2058	29.87 
8-2059	29.71 
8-2060	30.03 
8-2061	29.66 
8-2062	29.94 
8-2063	31.28 
8-2064	31.30 
8-2065	30.53 
8-2066	30.47 
8-2067	30.22 
8-2068	30.70 
8-2069	30.44 
9-1986	18.77 
9-1987	18.54 
9-1988	19.89 
9-1989	18.42 
9-1990	18.65 
9-1991	19.26 
9-1992	19.20 
9-1993	19.33 
9-1994	18.14 
9-1995	19.00 
9-1996	20.04 
9-1997	19.68 
9-1998	19.45 
9-1999	19.97 
9-2000	19.71 
9-2001	19.03 
9-2002	19.18 
9-2003	19.56 
9-2004	20.10 
9-2005	20.11 
9-2040	22.18 
9-2041	22.13 
9-2042	22.23 
9-2043	21.52 
9-2044	22.58 
9-2045	21.53 
9-2046	23.47 
9-2047	24.15 
9-2048	21.35 
9-2049	21.69 
9-2050	23.04 
9-2051	22.18 
9-2052	21.37 
9-2053	23.45 
9-2054	23.77 
9-2055	21.30 
9-2056	22.84 
9-2057	23.07 
9-2058	23.04 
9-2059	23.85 
9-2060	22.74 
9-2061	23.15 
9-2062	22.31 
9-2063	23.16 
9-2064	24.67 
9-2065	24.85 
9-2066	23.91 
9-2067	23.56 
9-2068	23.98 
9-2069	23.81 
10-1986	11.77 
10-1987	9.96 
10-1988	10.89 
10-1989	10.92 
10-1990	10.74 
10-1991	11.80 
10-1992	11.66 
10-1993	11.61 
10-1994	11.22 
